month,issuer_bank,success_rate,sr_baseline,volume_share,share_baseline,sr_delta,rate_effect,mix_effect,failed_value_inr
2024-08-01,UNION,0.894475,0.9005340664896979,0.046799,0.04602475772424416,-0.006059,-0.00027887,-2.3e-05,295479.18
2024-08-01,KOTAK,0.948441,0.9526098065458085,0.059608,0.059770807062249194,-0.004169,-0.00024917,-3.64e-06,198282.81
2024-08-01,IDFC,0.942223,0.947259891802722,0.030571,0.029977034163681398,-0.005037,-0.00015099,1.011e-05,97218.95
2024-08-01,YES,0.942276,0.9389032939594737,0.038187,0.037863086381506324,0.003373,0.0001277,2.81e-06,175768.69
2024-08-01,AXIS,0.9456,0.9469212935675272,0.092079,0.09253603047373037,-0.001321,-0.00012227,-7.63e-06,311507.57
2024-08-01,CANARA,0.904229,0.906629914405919,0.050459,0.05012777382650976,-0.002401,-0.00012035,-7.82e-06,261025.59
2024-08-01,ICICI,0.956971,0.9559988608119304,0.111487,0.1123537000594872,0.000972,0.00010922,-2.233e-05,297337.89
2024-08-01,BOB,0.911953,0.9106099330858838,0.05633,0.05662264032940485,0.001343,7.605e-05,5.74e-06,299701.56
2024-08-01,PAYTM_PB,0.933333,0.9361504907306434,0.026388,0.026674695255424024,-0.002817,-7.516e-05,-1.7e-06,125591.22
2024-08-01,PNB,0.905521,0.9046905098545306,0.075377,0.07663738849788304,0.00083,6.365e-05,3.22e-05,428263.12
2024-08-01,RRB_GRAMIN,0.86788,0.8667256719616155,0.047378,0.046834161645162554,0.001154,5.406e-05,-3.454e-05,323415.13
2024-08-01,SBI,0.917912,0.9178093529104172,0.195802,0.1933122728323901,0.000103,1.984e-05,-3.094e-05,976856.12
2024-08-01,HDFC,0.959056,0.9589587771571062,0.145809,0.14815218829949545,9.7e-05,1.44e-05,-6.73e-05,360671.86
2024-08-01,AU_SFB,0.928827,0.9288928043293585,0.023725,0.023113463448831563,-6.6e-05,-1.52e-06,-8.2e-07,95976.15
2024-09-01,PNB,0.908499,0.9046905098545306,0.076646,0.07663738849788304,0.003808,0.00029187,-2.2e-07,518712.71
2024-09-01,KOTAK,0.956668,0.9526098065458085,0.059504,0.059770807062249194,0.004058,0.00024256,-5.97e-06,204880.46
2024-09-01,PAYTM_PB,0.943325,0.9361504907306434,0.02586,0.026674695255424024,0.007175,0.00019138,-4.82e-06,112474.83
2024-09-01,SBI,0.91879,0.9178093529104172,0.194307,0.1933122728323901,0.000981,0.00018957,-1.236e-05,1114344.65
2024-09-01,AU_SFB,0.934982,0.9288928043293585,0.02371,0.023113463448831563,0.006089,0.00014074,-8e-07,105193.9
2024-09-01,UNION,0.902788,0.9005340664896979,0.046346,0.04602475772424416,0.002254,0.00010374,-9.54e-06,305398.43
2024-09-01,BOB,0.90917,0.9106099330858838,0.056355,0.05662264032940485,-0.00144,-8.153e-05,5.25e-06,361467.59
2024-09-01,RRB_GRAMIN,0.868388,0.8667256719616155,0.0471,0.046834161645162554,0.001662,7.785e-05,-1.688e-05,445430.43
2024-09-01,HDFC,0.958459,0.9589587771571062,0.147527,0.14815218829949545,-0.0005,-7.404e-05,-1.796e-05,515771.22
2024-09-01,CANARA,0.905376,0.906629914405919,0.049277,0.05012777382650976,-0.001254,-6.286e-05,2.008e-05,327382.07
2024-09-01,YES,0.937807,0.9389032939594737,0.03753,0.037863086381506324,-0.001096,-4.151e-05,-2.89e-06,173840.67
2024-09-01,IDFC,0.94637,0.947259891802722,0.029757,0.029977034163681398,-0.00089,-2.668e-05,-3.75e-06,104642.07
2024-09-01,AXIS,0.947197,0.9469212935675272,0.093343,0.09253603047373037,0.000276,2.551e-05,1.346e-05,353542.39
2024-09-01,ICICI,0.955848,0.9559988608119304,0.112738,0.1123537000594872,-0.000151,-1.695e-05,9.9e-06,363092.68
2024-10-01,SBI,0.916319,0.9178093529104172,0.192879,0.1933122728323901,-0.00149,-0.0002881,5.38e-06,1536721.93
2024-10-01,HDFC,0.960093,0.9589587771571062,0.148117,0.14815218829949545,0.001134,0.00016804,-1.01e-06,685352.68
2024-10-01,AXIS,0.948249,0.9469212935675272,0.092845,0.09253603047373037,0.001328,0.00012286,5.16e-06,501603.21
2024-10-01,UNION,0.898357,0.9005340664896979,0.045844,0.04602475772424416,-0.002177,-0.0001002,5.37e-06,429922.54
2024-10-01,PAYTM_PB,0.939666,0.9361504907306434,0.027044,0.026674695255424024,0.003516,9.378e-05,2.18e-06,160939.06
2024-10-01,ICICI,0.955254,0.9559988608119304,0.112989,0.1123537000594872,-0.000745,-8.369e-05,1.637e-05,551186.24
2024-10-01,BOB,0.911797,0.9106099330858838,0.056387,0.05662264032940485,0.001187,6.721e-05,4.62e-06,495288.92
2024-10-01,RRB_GRAMIN,0.865436,0.8667256719616155,0.046754,0.046834161645162554,-0.00129,-6.04e-05,5.09e-06,587013.55
2024-10-01,AU_SFB,0.92693,0.9288928043293585,0.022706,0.023113463448831563,-0.001963,-4.537e-05,5.5e-07,184372.35
2024-10-01,IDFC,0.948583,0.947259891802722,0.029751,0.029977034163681398,0.001323,3.966e-05,-3.85e-06,170407.22
2024-10-01,CANARA,0.905875,0.906629914405919,0.051339,0.05012777382650976,-0.000755,-3.784e-05,-2.859e-05,464952.51
